"H1","Label","Area","Perim."
"8","135:M1-K-35","36505","757.134"
"9","135:M1-K-40","36593","755.377"
"10","135:M1-K-45","36607","768.448"
"11","135:M1-K-50","36667","755.377"
"12","135:M1-K-55","36713","764.489"
"1","136:M1-K-00","38306","758.205"
"2","136:M1-K-05","37994","757.963"
"3","136:M1-K-10","37802","750.891"
"4","136:M1-K-15","37698","752.548"
"5","136:M1-K-20","37605","746.063"
"6","136:M1-K-25","37600","746.406"
"7","136:M1-K-30","37584","744.164"
"8","136:M1-K-35","37612","755.519"
"9","136:M1-K-40","37552","753.377"
"10","136:M1-K-45","37526","758.933"
"11","136:M1-K-50","37544","747.477"
"12","136:M1-K-55","37547","752.105"
"1","137:M1-K-00","37033","739.436"
"2","137:M1-K-05","37059","733.294"
"3","137:M1-K-10","37085","734.950"
"4","137:M1-K-15","37091","734.122"
"5","137:M1-K-20","37113","738.365"
"6","137:M1-K-25","37137","738.850"
"7","137:M1-K-30","37169","737.536"
"8","137:M1-K-35","37182","734.122"
"9","137:M1-K-40","37213","729.495"
"10","137:M1-K-45","37204","735.536"
"11","137:M1-K-50","37235","741.092"
"12","137:M1-K-55","37235","737.779"
"1","138:M1-K-00","36491","740.164"
"2","138:M1-K-05","36574","751.519"
"3","138:M1-K-10","36626","747.820"
"4","138:M1-K-15","36610","745.235"
"5","138:M1-K-20","36661","750.690"
"6","138:M1-K-25","36707","753.034"
"7","138:M1-K-30","36724","752.933"
"8","138:M1-K-35","36782","748.406"
"9","138:M1-K-40","36782","745.921"
"10","138:M1-K-45","36854","751.720"
"11","138:M1-K-50","36919","766.105"
"12","138:M1-K-55","36931","771.862"
"13","138:M1-K-60","36895","745.578"
"1","139:M1-K-00","37104","738.749"
"2","139:M1-K-05","37145","736.365"
"3","139:M1-K-10","37178","745.578"
"4","139:M1-K-15","37234","747.377"
"5","139:M1-K-20","37233","750.548"
"6","139:M1-K-25","37232","742.649"
"7","139:M1-K-30","37232","747.134"
"8","139:M1-K-35","37253","737.678"
"9","139:M1-K-40","37246","739.092"
"10","139:M1-K-45","37292","749.477"
"11","139:M1-K-50","37311","744.992"
"12","139:M1-K-55","37305","744.164"
"13","139:M1-K-60","37265","739.335"
"1","14:NI-ND-00","31612","687.637"
"2","14:NI-ND-05","31582","687.394"
"3","14:NI-ND-10","31593","689.879"
"4","14:NI-ND-15","31620","684.666"
"5","14:NI-ND-20","31598","683.252"
"6","14:NI-ND-25","31617","682.080"
"7","14:NI-ND-30","31656","684.566"
"8","14:NI-ND-35","31645","683.252"
"9","14:NI-ND-40","31672","687.980"
"10","14:NI-ND-45","31679","687.637"
"11","14:NI-ND-50","31740","686.666"
"12","14:NI-ND-55","31772","692.222"
"1","140:M1-K-00","32987","705.294"
"2","140:M1-K-05","33102","714.164"
"3","140:M1-K-10","32941","710.749"
"4","140:M1-K-15","32886","707.092"
"5","140:M1-K-20","32953","715.963"
"6","140:M1-K-25","32960","702.850"
"7","140:M1-K-30","32987","705.921"
"8","140:M1-K-35","33057","715.720"
"9","140:M1-K-40","33066","716.205"
